,ad_code,ad_name,lowest_ad_name
0,4113100000,경기도 성남시 수정구,성남시 수정구
1,4421000000,충청남도 서산시,서산시
2,4725000000,경상북도 상주시,상주시
3,4723000000,경상북도 영천시,영천시
4,4711300000,경상북도 포항시 북구,포항시 북구
5,4159000000,경기도 화성시,화성시
6,4882000000,경상남도 고성군,고성군
7,4719000000,경상북도 구미시,구미시
8,4313000000,충청북도 충주시,충주시
9,4300000000,충청북도,충청북도
10,4373000000,충청북도 옥천군,옥천군
11,4119000000,경기도 부천시,부천시
12,4117100000,경기도 안양시 만안구,안양시 만안구
13,4476000000,충청남도 부여군,부여군
14,1121500000,서울특별시 광진구,광진구
15,2617000000,부산광역시 동구,동구
16,1126000000,서울특별시 중랑구,중랑구
17,2671000000,부산광역시 기장군,기장군
18,3014000000,대전광역시 중구,중구
19,4117300000,경기도 안양시 동안구,안양시 동안구
20,4117000000,경기도 안양시,안양시
21,4613000000,전라남도 여수시,여수시
22,4423000000,충청남도 논산시,논산시
23,2620000000,부산광역시 영도구,영도구
24,3017000000,대전광역시 서구,서구
25,2644000000,부산광역시 강서구,강서구
26,2653000000,부산광역시 사상구,사상구
27,1154500000,서울특별시 금천구,금천구
28,4817000000,경상남도 진주시,진주시
29,1100000000,서울특별시,서울특별시
30,1111000000,서울특별시 종로구,종로구
31,1114000000,서울특별시 중구,중구
32,4128000000,경기도 고양시,고양시
33,4679000000,전라남도 화순군,화순군
34,1150000000,서울특별시 강서구,강서구
35,4824000000,경상남도 사천시,사천시
36,1147000000,서울특별시 양천구,양천구
37,1130500000,서울특별시 강북구,강북구
38,3011000000,대전광역시 동구,동구
39,4721000000,경상북도 영주시,영주시
40,2647000000,부산광역시 연제구,연제구
41,1132000000,서울특별시 도봉구,도봉구
42,1144000000,서울특별시 마포구,마포구
43,1162000000,서울특별시 관악구,관악구
44,4678000000,전라남도 보성군,보성군
45,4100000000,경기도,경기도
46,4122000000,경기도 평택시,평택시
47,4728000000,경상북도 문경시,문경시
48,2600000000,부산광역시,부산광역시
49,2611000000,부산광역시 중구,중구
50,1120000000,서울특별시 성동구,성동구
51,1117000000,서울특별시 용산구,용산구
52,1129000000,서울특별시 성북구,성북구
53,4115000000,경기도 의정부시,의정부시
54,4113500000,경기도 성남시 분당구,성남시 분당구
55,4715000000,경상북도 김천시,김천시
